iter	Passed	Remaining
0	0	80
1	1	73
2	2	68
3	2	61
4	3	60
5	3	58
6	4	57
7	4	56
8	5	55
9	6	54
10	6	54
11	7	54
12	7	53
13	8	52
14	9	52
15	9	51
16	10	50
17	10	49
18	11	48
19	11	47
20	12	47
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	6
88	51	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
